1986-01-07,2776022.0
1988-01-13,2411075.0
1989-01-15,2578631.0
1989-12-01,2495587.0
1991-01-05,2475338.0
1992-01-24,2287530.0
1993-01-10,2388836.0
1993-12-28,2167254.0
1994-12-31,2238267.0
1995-12-18,2140418.0
1997-01-05,2097520.0
1998-12-10,2005392.0
2000-01-06,1950484.0
2001-02-09,1921970.0
2001-12-18,1901558.0
2003-01-30,1882257.0
2004-01-25,1816255.0
2004-12-26,1768019.0
2006-01-30,1727811.0
2007-01-01,1698704.0
2008-02-05,1678863.0
2008-12-21,1648803.0
2009-11-22,1639819.0
2011-01-12,1633915.0
2011-12-22,1563579.0
2012-12-24,1522720.0
2013-12-19,1493803.0
2014-12-06,1486549.0
2015-12-25,1503256.0
2016-12-11,1467993.0
2017-12-30,1437503.0
2019-01-02,1394184.0
2020-01-05,1349117.0
2020-12-22,1342910.0
2021-12-25,1256105.0
